size,insert_us,delete_us,find_us,special_us,traverse_us
100,3.378,2.860,2.840,2.873,4.471
200,3.544,2.759,3.014,3.179,6.572
500,2.786,2.398,2.293,2.383,11.864
1000,2.836,2.403,2.396,2.415,20.825
2000,2.952,2.558,2.534,2.491,45.380
5000,3.237,2.726,2.865,2.878,166.198
10000,3.596,2.760,3.081,3.220,433.674
20000,5.675,4.210,5.013,5.015,2073.921
50000,5.648,4.482,4.784,4.804,6924.732
100000,5.843,4.557,5.157,5.470,14979.876
200000,6.546,4.955,7.086,6.584,32346.882
300000,6.681,5.270,5.427,5.891,48788.458
400000,6.993,6.156,6.598,7.421,79265.539
500000,6.730,5.609,6.408,6.335,80192.865
600000,6.783,5.914,6.159,6.911,105094.747
700000,6.808,5.836,6.114,6.339,117223.854
800000,7.270,6.817,6.260,7.998,144752.863
900000,7.444,6.418,6.921,7.000,160442.483
1000000,4.628,3.911,5.668,5.909,163855.201
2000000,7.970,7.497,7.667,8.246,386123.231
